episode,n_files,n_pairs_total,used,skip_zero_vel,skip_goal_zero,skip_dist_eps,failed,pct_zero_vel_of_all_pairs,pct_zero_vel_of_skips,median_angle_deg,mean_angle_deg,pct_dot_gt_0,pct_dot_gt_cos_30deg
0113_144350,397,396,286,110,0,0,0,27.77777777777778,100.0,115.69490518481084,92.16581904800769,43.35664335664335,39.86013986013986
0113_152952,614,613,138,470,5,0,0,76.6721044045677,98.94736842105263,90.32781444651303,80.98451464818241,50.0,17.391304347826086
0113_153702,712,711,395,316,0,0,0,44.44444444444444,100.0,69.05436878962067,75.20891949954915,61.77215189873417,29.873417721518987
0113_153859,265,264,162,102,0,0,0,38.63636363636363,100.0,31.376717541046247,46.42714558247576,90.12345679012346,44.44444444444444
0113_153907,32,31,21,10,0,0,0,32.25806451612903,100.0,6.665600799762444,7.5367320280119126,100.0,100.0
0113_153938,52,51,41,10,0,0,0,19.607843137254903,100.0,9.088165375064722,8.940638368154548,100.0,100.0
0113_154239,72,71,61,10,0,0,0,14.084507042253522,100.0,1.2455372137999519,4.702228569722851,98.36065573770492,96.72131147540983
0113_155740,172,171,105,66,0,0,0,38.59649122807017,100.0,8.072886238511837,9.741147947135408,100.0,99.04761904761905
0113_155831,157,156,117,39,0,0,0,25.0,100.0,6.851200583182802,9.622824318932793,100.0,95.72649572649573
0113_160428,335,334,179,155,0,0,0,46.40718562874252,100.0,39.14490257587984,64.81485472005,68.71508379888269,40.22346368715084
0113_162258,21,20,4,16,0,0,0,80.0,100.0,40.9735990526016,48.84307402388504,75.0,25.0
0113_162305,3,2,2,0,0,0,0,0.0,nan,0.1261610476566164,0.1261610476566164,100.0,100.0
0113_162310,81,80,46,34,0,0,0,42.5,100.0,10.219079191732064,24.03591123169555,89.13043478260869,86.95652173913044
0113_162314,4,3,3,0,0,0,0,0.0,nan,0.2916853374059273,1.109682936045184,100.0,100.0
0113_162319,7,6,5,1,0,0,0,16.666666666666664,100.0,1.5786965969145845,5.47121045971759,100.0,100.0
0113_162321,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan
0113_162322,10,9,9,0,0,0,0,0.0,nan,1.239890138103229,1.5409640877873352,100.0,100.0
