init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6
0.358396,0.023288,0.518860,-0.012746,-0.482378,-0.614250,-0.265178,-0.375517,-2.848809,0.483014,-0.004855,0.499610,-0.105705,-0.010466,-1.013311,-0.425461,-0.471634,-2.723135
0.318046,0.026356,0.451947,0.079547,-0.550663,-0.356023,-0.008640,-0.554011,-3.078673,0.537776,-0.006844,0.489407,-0.096414,0.180373,-1.217642,-0.417177,-0.456066,-2.727045
0.347981,0.023115,0.516268,-0.019385,-0.520672,-0.579401,-0.285047,-0.373807,-2.830711,0.487160,0.022488,0.472026,0.013674,0.030219,-0.963167,-0.138431,-0.531651,-2.973812
0.361476,0.018148,0.461833,0.000587,-0.389352,-0.509150,-0.154949,-0.567242,-2.963807,0.523781,0.007383,0.501583,-0.055081,0.116748,-1.167527,-0.336880,-0.430345,-2.792879
0.349250,-0.006625,0.452991,-0.159887,-0.408021,-0.477131,-0.428500,-0.616107,-2.756238,0.534834,-0.017492,0.505293,-0.143820,0.163521,-1.256699,-0.573819,-0.426528,-2.579319
0.337874,-0.006620,0.444453,-0.164550,-0.436033,-0.427059,-0.423405,-0.637672,-2.766227,0.535498,0.006474,0.465784,-0.042122,0.195269,-1.156246,-0.257776,-0.513064,-2.873795
0.347840,0.026510,0.489524,0.055607,-0.490118,-0.515109,-0.064359,-0.456230,-3.030882,0.574561,0.041836,0.480591,0.062896,0.304845,-1.346451,-0.051803,-0.419549,-3.040549
0.336921,0.009795,0.436082,-0.047711,-0.431967,-0.393714,-0.218871,-0.645601,-2.924373,0.543092,0.020774,0.480018,-0.000081,0.200471,-1.204368,-0.188073,-0.463469,-2.926237
0.366340,0.002794,0.438830,-0.077599,-0.319687,-0.496291,-0.263973,-0.660248,-2.893267,0.510031,0.023385,0.501559,0.006390,0.068197,-1.100582,-0.184391,-0.434456,-2.926547
0.352689,0.024336,0.460224,0.044998,-0.421087,-0.477248,-0.072843,-0.563461,-3.028238,0.549256,0.043673,0.498263,0.074657,0.202801,-1.259368,-0.023917,-0.404213,-3.064572
0.352946,0.022609,0.495731,0.011542,-0.478002,-0.544889,-0.168920,-0.443026,-2.940691,0.554232,0.049945,0.456627,0.094004,0.269336,-1.223810,0.020258,-0.506289,-3.102136
0.339106,0.014087,0.492092,-0.079306,-0.524775,-0.509239,-0.378121,-0.453371,-2.760791,0.509331,0.021802,0.460770,0.011304,0.117170,-1.035190,-0.139535,-0.546697,-2.974189
0.328349,0.006098,0.466157,-0.118413,-0.526120,-0.429605,-0.400635,-0.538199,-2.759475,0.517674,0.018496,0.493386,-0.009967,0.102589,-1.119415,-0.215223,-0.452478,-2.901835
0.333067,0.023291,0.435161,0.048916,-0.447221,-0.376078,-0.058755,-0.638141,-3.042205,0.551624,-0.012456,0.479997,-0.107731,0.238080,-1.267473,-0.434229,-0.467251,-2.714481
0.378183,0.029474,0.447390,0.070607,-0.295994,-0.540858,-0.022989,-0.623945,-3.068353,0.483822,0.046991,0.467371,0.107433,0.030640,-0.947806,0.044782,-0.543930,-3.121256
0.344398,-0.010010,0.447034,-0.179606,-0.412342,-0.455502,-0.449888,-0.638212,-2.745424,0.575925,0.011812,0.489381,-0.036875,0.301624,-1.376213,-0.311073,-0.402714,-2.811395
0.341311,0.020657,0.470418,0.012516,-0.486519,-0.460578,-0.144155,-0.517774,-2.967989,0.506739,0.041411,0.479704,0.079290,0.085183,-1.052320,-0.010133,-0.493565,-3.077125
0.326390,0.004184,0.456666,-0.121561,-0.516315,-0.405584,-0.385339,-0.570456,-2.779642,0.518063,-0.000231,0.444152,-0.057506,0.172190,-1.057252,-0.255051,-0.589606,-2.887902
0.363466,0.010433,0.447387,-0.039868,-0.351548,-0.495526,-0.212105,-0.623459,-2.926241,0.552289,0.025763,0.530444,-0.006693,0.185771,-1.339254,-0.291190,-0.319343,-2.818375
0.373097,-0.004047,0.461472,-0.128997,-0.335124,-0.562413,-0.384283,-0.595237,-2.786381,0.573893,0.004877,0.447246,-0.042148,0.342859,-1.304637,-0.258191,-0.512294,-2.873336
0.304257,0.016151,0.469639,-0.066806,-0.645233,-0.358800,-0.330978,-0.477798,-2.806201,0.547332,0.030986,0.485317,0.032452,0.208287,-1.229097,-0.120153,-0.442519,-2.982568
0.329091,0.012236,0.486543,-0.102378,-0.557162,-0.472834,-0.423676,-0.464795,-2.723202,0.573462,0.041408,0.464106,0.062969,0.319787,-1.317962,-0.047088,-0.462926,-3.045720
0.360924,0.028615,0.492959,0.067961,-0.442296,-0.561543,-0.036395,-0.457090,-3.054643,0.521007,-0.007250,0.452231,-0.082174,0.171474,-1.084385,-0.310667,-0.568245,-2.839831
0.374124,-0.008627,0.444710,-0.138166,-0.296977,-0.540283,-0.368495,-0.653869,-2.813153,0.534035,0.016837,0.499849,-0.020028,0.149986,-1.200584,-0.255216,-0.421645,-2.863390
0.317419,0.010844,0.448761,-0.066252,-0.544485,-0.355727,-0.276530,-0.576776,-2.868751,0.562989,0.030531,0.480453,0.028915,0.265182,-1.291928,-0.129935,-0.437005,-2.973794
0.363540,0.008936,0.478855,-0.075071,-0.407259,-0.554152,-0.322420,-0.520370,-2.821176,0.567543,0.018037,0.472591,-0.009629,0.289368,-1.304230,-0.213612,-0.454337,-2.903429
0.346627,-0.016984,0.433543,-0.201708,-0.368862,-0.445593,-0.453819,-0.693429,-2.759181,0.511491,0.031270,0.487485,0.039921,0.089056,-1.081641,-0.097135,-0.469894,-3.003751
0.379003,0.025256,0.511408,0.023980,-0.396350,-0.655484,-0.149471,-0.412753,-2.955103,0.547046,0.022450,0.454784,0.010504,0.244914,-1.185913,-0.146606,-0.524043,-2.966526
0.375602,0.009534,0.490802,-0.075620,-0.378574,-0.615603,-0.342860,-0.489549,-2.798173,0.567684,0.014000,0.525294,-0.054078,0.247065,-1.416580,-0.450092,-0.320144,-2.670925
0.335914,0.022542,0.495601,0.005542,-0.547414,-0.495075,-0.190500,-0.424663,-2.920304,0.501735,0.035406,0.486662,0.057777,0.058923,-1.041646,-0.056876,-0.478582,-3.037935
0.364738,0.028814,0.444586,0.072427,-0.340717,-0.492508,-0.019795,-0.627542,-3.070786,0.534143,0.038011,0.484017,0.059636,0.167564,-1.170470,-0.055017,-0.458343,-3.038879
0.309061,0.012813,0.450299,-0.059360,-0.586515,-0.332683,-0.272152,-0.557027,-2.868918,0.484602,0.029109,0.459355,0.040853,0.041191,-0.935527,-0.080035,-0.567695,-3.022789
0.358210,0.010496,0.501767,-0.102904,-0.457648,-0.592373,-0.441915,-0.446807,-2.703188,0.515269,0.044310,0.482770,0.087247,0.109516,-1.092069,0.006753,-0.478138,-3.091163
0.351541,0.018184,0.497089,-0.034305,-0.483778,-0.548722,-0.277871,-0.442349,-2.846395,0.490322,-0.013296,0.451566,-0.107456,0.078644,-0.964483,-0.341636,-0.600227,-2.821585
0.324378,0.026333,0.448067,0.075151,-0.514098,-0.368943,-0.016323,-0.577697,-3.072833,0.500089,0.040230,0.450781,0.077458,0.105400,-0.987209,-0.012103,-0.578903,-3.076121
0.339645,0.028729,0.441412,0.084769,-0.433225,-0.406994,0.001109,-0.620462,-3.086344,0.569172,0.000376,0.442113,-0.053454,0.335429,-1.278423,-0.271641,-0.532833,-2.865390
0.378792,0.020558,0.512368,-0.017993,-0.397069,-0.661397,-0.254827,-0.413585,-2.862715,0.568575,0.008933,0.475542,-0.039093,0.291100,-1.318561,-0.285661,-0.448330,-2.840498
0.294437,0.015938,0.439717,-0.026165,-0.634704,-0.266769,-0.204744,-0.568066,-2.924498,0.487894,0.038734,0.531908,0.071621,-0.033678,-1.068275,-0.035371,-0.358922,-3.053780
0.344454,0.013729,0.475038,-0.049435,-0.479258,-0.484456,-0.273520,-0.511994,-2.860532,0.575692,-0.010000,0.472597,-0.095487,0.324594,-1.364720,-0.417582,-0.453130,-2.726069
