init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.361476,0.018148,0.461833,0.000587,-0.389352,-0.509150,-0.154949,-0.567242,-2.963807,0.493379,-0.001986,0.466175,-0.073835,0.062642,-0.989489,-0.302236,-0.552959,-2.843812,1,0.415225,0.009944,0.463602,-0.037777,-0.194139,-0.692976,-0.220969,-0.584010,-2.913830,17.279403,M,left,0.415225,-0.000056,0.463602,-0.084993,-0.190909,-0.699371,-0.305152,-0.590481,-2.848513
0.349250,-0.006625,0.452991,-0.159887,-0.408021,-0.477131,-0.428500,-0.616107,-2.756238,0.488023,-0.014909,0.524603,-0.167300,-0.006425,-1.115035,-0.659121,-0.415582,-2.497387,1,0.417577,-0.010703,0.488250,-0.152565,-0.212382,-0.766461,-0.479725,-0.529291,-2.690151,-25.120905,L,left,0.417577,-0.020703,0.488250,-0.197487,-0.204128,-0.781267,-0.564730,-0.542246,-2.620354
0.347840,0.026510,0.489524,0.055607,-0.490118,-0.515109,-0.064359,-0.456230,-3.030882,0.488664,0.039813,0.531659,0.076931,-0.030636,-1.070913,-0.020327,-0.359198,-3.067280,1,0.418186,0.033155,0.510572,0.070890,-0.251670,-0.778726,-0.031514,-0.430465,-3.058340,-19.035666,L,left,0.418186,0.023155,0.510572,0.008422,-0.252225,-0.780839,-0.179912,-0.433472,-2.930334
0.336921,0.009795,0.436082,-0.047711,-0.431967,-0.393714,-0.218871,-0.645601,-2.924373,0.548198,0.050476,0.531459,0.103106,0.172915,-1.318027,0.060733,-0.316093,-3.141141,1,0.474537,0.036293,0.498206,0.067817,-0.044162,-0.956009,-0.036448,-0.460761,-3.054671,18.915025,S,left,0.474537,0.026293,0.498206,0.024029,-0.045267,-0.956130,-0.134123,-0.462679,-2.972016
0.324672,0.000858,0.473853,-0.181907,-0.546713,-0.450169,-0.547729,-0.525611,-2.630175,0.548801,-0.016582,0.519701,-0.154074,0.203293,-1.365317,-0.691838,-0.376399,-2.455957,1,0.443206,-0.008365,0.498100,-0.134989,-0.138751,-0.870920,-0.471958,-0.495141,-2.688053,34.149118,M,left,0.443206,-0.018365,0.498100,-0.177353,-0.131301,-0.885660,-0.558108,-0.506504,-2.615441
0.366340,0.002794,0.438830,-0.077599,-0.319686,-0.496291,-0.263973,-0.660249,-2.893267,0.517468,-0.020164,0.483723,-0.140165,0.126963,-1.135520,-0.480958,-0.498141,-2.680956,1,0.452936,-0.010361,0.464554,-0.114635,-0.061790,-0.841551,-0.362889,-0.585729,-2.801382,-25.495892,S,left,0.452936,-0.020361,0.464554,-0.153211,-0.056144,-0.851750,-0.431187,-0.593263,-2.747900
0.317181,-0.011835,0.444801,-0.235092,-0.514605,-0.379480,-0.553004,-0.635764,-2.661155,0.574702,0.005133,0.482151,-0.054353,0.306064,-1.362358,-0.339223,-0.424934,-2.789908,1,0.406858,-0.005926,0.457807,-0.112589,-0.207132,-0.666410,-0.344316,-0.613137,-2.822310,-3.095234,S,left,0.406858,-0.015926,0.457807,-0.158272,-0.200980,-0.676556,-0.421475,-0.622533,-2.763601
0.352689,0.024336,0.460224,0.044998,-0.421087,-0.477248,-0.072843,-0.563461,-3.028238,0.498378,-0.014831,0.441054,-0.106462,0.120832,-0.983159,-0.328930,-0.622180,-2.836319,1,0.451243,-0.002159,0.447256,-0.074963,-0.042388,-0.803205,-0.270076,-0.631169,-2.883399,-15.841841,M,left,0.451243,-0.012159,0.447256,-0.113336,-0.038468,-0.810297,-0.334113,-0.636691,-2.835490
0.313986,-0.006148,0.443340,-0.200156,-0.532423,-0.358426,-0.496591,-0.624943,-2.703816,0.536343,0.049392,0.497788,0.099373,0.162386,-1.205018,0.037325,-0.418296,-3.117933,1,0.462556,0.030962,0.479720,0.050059,-0.060392,-0.881440,-0.068194,-0.519788,-3.030079,-8.286787,L,left,0.462556,0.020962,0.479720,0.007780,-0.060890,-0.882324,-0.152558,-0.522181,-2.961506
0.339106,0.014087,0.492092,-0.079306,-0.524775,-0.509239,-0.378121,-0.453371,-2.760791,0.519805,0.034901,0.442410,0.055449,0.178803,-1.055974,-0.051690,-0.584081,-3.045559,1,0.421481,0.023575,0.469443,0.026074,-0.183557,-0.719410,-0.108724,-0.560192,-2.999744,-30.514732,L,left,0.421481,0.013575,0.469443,-0.022079,-0.182931,-0.722074,-0.198380,-0.563963,-2.929037
