init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.358396,0.023288,0.518860,-0.012746,-0.482378,-0.614250,-0.265178,-0.375517,-2.848809,0.490832,-0.016304,0.505137,-0.151155,0.017192,-1.071997,-0.545994,-0.462469,-2.614012,1,0.416154,0.006021,0.512875,-0.096028,-0.255249,-0.797634,-0.429671,-0.441693,-2.712963,32.386505,M,right,0.416154,0.016021,0.512875,-0.037517,-0.260236,-0.784711,-0.292694,-0.431182,-2.831837
0.358838,-0.001136,0.479672,-0.147925,-0.419111,-0.556112,-0.468466,-0.530758,-2.700186,0.558691,0.017054,0.463334,-0.009219,0.271412,-1.250413,-0.198355,-0.489369,-2.920306,1,0.486381,0.010472,0.469245,-0.030546,0.032731,-0.959740,-0.221572,-0.543840,-2.907839,-35.185112,S,right,0.486381,0.020472,0.469245,0.006785,0.031718,-0.956514,-0.149775,-0.540510,-2.965421
0.318046,0.026356,0.451947,0.079547,-0.550663,-0.356023,-0.008640,-0.554011,-3.078673,0.563701,0.043349,0.506508,0.068798,0.243366,-1.338273,-0.042555,-0.366064,-3.047473,1,0.430441,0.034131,0.476911,0.073750,-0.163215,-0.762604,-0.020218,-0.534946,-3.069269,44.974337,L,right,0.430441,0.044131,0.476911,0.121479,-0.159761,-0.766511,0.072809,-0.535496,3.139166
0.347981,0.023115,0.516268,-0.019385,-0.520672,-0.579401,-0.285047,-0.373807,-2.830711,0.481082,0.039253,0.468386,0.079114,0.018002,-0.935802,-0.009631,-0.542901,-3.077822,1,0.399892,0.029409,0.497593,0.056310,-0.301589,-0.693786,-0.061543,-0.466024,-3.033602,-19.752822,M,right,0.399892,0.039409,0.497593,0.120581,-0.298307,-0.696964,0.080614,-0.466643,3.129687
0.337874,-0.006620,0.444453,-0.164550,-0.436033,-0.427059,-0.423405,-0.637672,-2.766227,0.550065,-0.010981,0.451856,-0.090375,0.265013,-1.212003,-0.343385,-0.538079,-2.807153,1,0.476968,-0.009479,0.449306,-0.096628,0.038660,-0.906849,-0.315178,-0.614252,-2.845361,26.315608,M,right,0.476968,0.000521,0.449306,-0.060942,0.035378,-0.900439,-0.253626,-0.609627,-2.892299
0.352946,0.022609,0.495731,0.011542,-0.478002,-0.544889,-0.168920,-0.443026,-2.940691,0.509832,-0.001097,0.435686,-0.058552,0.160395,-1.013914,-0.245546,-0.620364,-2.900278,1,0.451151,0.007770,0.458145,-0.039825,-0.063831,-0.812768,-0.221129,-0.594617,-2.915205,22.394430,S,right,0.451151,0.017770,0.458145,0.000864,-0.065101,-0.809445,-0.148905,-0.590890,-2.970819
0.333067,0.023291,0.435161,0.048916,-0.447221,-0.376078,-0.058755,-0.638141,-3.042205,0.487257,-0.009651,0.442535,-0.092242,0.081959,-0.937527,-0.302502,-0.625263,-2.857423,1,0.400377,0.008910,0.438380,-0.034937,-0.197706,-0.606162,-0.192474,-0.665059,-2.946600,-25.549915,M,right,0.400377,0.018910,0.438380,0.012791,-0.198674,-0.603656,-0.115587,-0.661313,-3.002057
0.378183,0.029474,0.447390,0.070607,-0.295994,-0.540858,-0.022989,-0.623945,-3.068353,0.516170,0.049527,0.512065,0.108837,0.081796,-1.146056,0.063550,-0.397109,-3.141391,1,0.459135,0.041239,0.485332,0.095176,-0.077191,-0.879905,0.022767,-0.503689,-3.104229,-19.197718,M,right,0.459135,0.051239,0.485332,0.138639,-0.073016,-0.885443,0.112230,-0.504723,3.105386
0.359476,-0.018816,0.443914,-0.205676,-0.340679,-0.505531,-0.477368,-0.666366,-2.732347,0.514060,0.006825,0.514187,-0.066146,0.073506,-1.154755,-0.386941,-0.405270,-2.743976,1,0.415357,-0.009547,0.469318,-0.132500,-0.194661,-0.718735,-0.399339,-0.581632,-2.770885,-12.258272,L,right,0.415357,0.000453,0.469318,-0.086102,-0.199930,-0.709181,-0.315850,-0.572816,-2.836537
0.341311,0.020657,0.470418,0.012516,-0.486519,-0.460578,-0.144155,-0.517774,-2.967989,0.556993,0.048955,0.446901,0.090073,0.291060,-1.224145,0.011750,-0.527624,-3.095006,1,0.460511,0.036297,0.457421,0.074091,-0.031681,-0.843255,-0.018030,-0.585815,-3.071601,-28.092535,L,right,0.460511,0.046297,0.457421,0.113577,-0.028591,-0.846971,0.052975,-0.585719,-3.126406
