init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.358396,0.023288,0.518860,-0.012746,-0.482378,-0.614250,-0.265178,-0.375517,-2.848809,0.490832,-0.016304,0.505137,-0.151155,0.017192,-1.071997,-0.545994,-0.462469,-2.614012,1,0.406471,0.008916,0.513878,-0.086729,-0.291942,-0.765629,-0.413419,-0.434106,-2.725837,-17.416766,L,right,0.406471,0.018916,0.513878,-0.022770,-0.296689,-0.752700,-0.261008,-0.423420,-2.858537
0.358838,-0.001136,0.479672,-0.147925,-0.419111,-0.556112,-0.468466,-0.530758,-2.700186,0.558691,0.017054,0.463334,-0.009219,0.271412,-1.250413,-0.198355,-0.489369,-2.920306,1,0.471564,0.009124,0.470457,-0.036964,-0.016666,-0.905804,-0.231964,-0.549414,-2.900203,-32.194532,S,right,0.471564,0.019124,0.470457,0.002276,-0.017923,-0.902169,-0.157190,-0.545708,-2.959944
0.318046,0.026356,0.451947,0.079547,-0.550663,-0.356023,-0.008640,-0.554011,-3.078673,0.563701,0.043349,0.506508,0.068798,0.243366,-1.338273,-0.042555,-0.366064,-3.047473,1,0.404751,0.032354,0.471205,0.074657,-0.243748,-0.665394,-0.017947,-0.551607,-3.071277,-38.020349,L,left,0.404751,0.022354,0.471205,0.021301,-0.245092,-0.665155,-0.118993,-0.553385,-2.991118
0.347981,0.023115,0.516268,-0.019385,-0.520672,-0.579401,-0.285047,-0.373807,-2.830711,0.481082,0.039253,0.468386,0.079114,0.018002,-0.935802,-0.009631,-0.542901,-3.077822,1,0.390391,0.028257,0.501011,0.050748,-0.341051,-0.669483,-0.076119,-0.451224,-3.020687,23.406460,L,left,0.390391,0.018257,0.501011,-0.019586,-0.340235,-0.674283,-0.235543,-0.456554,-2.884871
0.361476,0.018148,0.461833,0.000587,-0.389352,-0.509150,-0.154949,-0.567242,-2.963807,0.493379,-0.001986,0.466175,-0.073835,0.062642,-0.989489,-0.302236,-0.552959,-2.843812,1,0.453645,0.004079,0.464867,-0.057037,-0.065546,-0.833721,-0.259707,-0.575777,-2.881973,-13.691640,S,right,0.453645,0.014079,0.464867,-0.016189,-0.067541,-0.829083,-0.185111,-0.571310,-2.940431
0.349250,-0.006625,0.452991,-0.159887,-0.408021,-0.477131,-0.428500,-0.616107,-2.756238,0.488023,-0.014909,0.524603,-0.167300,-0.006425,-1.115035,-0.659121,-0.415582,-2.497387,1,0.438430,-0.011948,0.499011,-0.154295,-0.153163,-0.862030,-0.513633,-0.498020,-2.652304,20.573428,S,right,0.438430,-0.001948,0.499011,-0.109527,-0.159812,-0.848353,-0.420839,-0.487201,-2.730616
0.337874,-0.006620,0.444453,-0.164550,-0.436033,-0.427059,-0.423405,-0.637672,-2.766227,0.550065,-0.010981,0.451856,-0.090375,0.265013,-1.212003,-0.343385,-0.538079,-2.807153,1,0.422289,-0.008355,0.447398,-0.109693,-0.134991,-0.704602,-0.324260,-0.644491,-2.844758,20.431417,L,right,0.422289,0.001645,0.447398,-0.066686,-0.138926,-0.697723,-0.253322,-0.638214,-2.897345
0.347840,0.026510,0.489524,0.055607,-0.490118,-0.515109,-0.064359,-0.456230,-3.030882,0.488664,0.039813,0.531659,0.076931,-0.030636,-1.070913,-0.020327,-0.359198,-3.067280,1,0.427748,0.034059,0.513433,0.071990,-0.221193,-0.816451,-0.029359,-0.423191,-3.060088,-8.980918,L,right,0.427748,0.044059,0.513433,0.131935,-0.217301,-0.821292,0.115600,-0.424470,3.097553
0.336921,0.009795,0.436082,-0.047711,-0.431967,-0.393714,-0.218871,-0.645601,-2.924373,0.548198,0.050476,0.531459,0.103106,0.172915,-1.318027,0.060733,-0.316093,-3.141141,1,0.444665,0.030541,0.484720,0.051781,-0.127211,-0.824521,-0.065895,-0.509817,-3.031563,24.815323,M,right,0.444665,0.040541,0.484720,0.098253,-0.124769,-0.826821,0.028813,-0.509257,-3.109106
0.324672,0.000858,0.473853,-0.181907,-0.546713,-0.450169,-0.547729,-0.525611,-2.630175,0.548801,-0.016582,0.519701,-0.154074,0.203293,-1.365317,-0.691838,-0.376399,-2.455957,1,0.422600,-0.006762,0.493885,-0.136143,-0.204758,-0.790240,-0.462124,-0.508683,-2.699979,-11.376809,L,right,0.422600,0.003238,0.493885,-0.087630,-0.210711,-0.778020,-0.363453,-0.498133,-2.782265
